int,string,string,string,string,string,string,int,int
38,蒋格善,男,汉族,大学本科,高中,英语,29,2
39,张无忌,男,汉族,专科,高中,地理,25,1
39,张无忌,男,汉族,专科,高中,美术,23,0
38,蒋格善,男,汉族,大学本科,高中,英语,43,1
39,张无忌,男,汉族,专科,高中,地理,24,1
39,张无忌,男,汉族,专科,高中,美术,34,3
26,李大斌,男,汉族,专科,初中,体育,30,2
27,王小力,男,汉族,专科,初中,数学,40,3
28,蒋国,男,汉族,专科,高中,语文,50,3
29,郭庄,男,汉族,大学本科,高中,计算机,60,3
30,曲小巧,女,高山族,大学本科,初中,美术,37,2
31,李汉忠,男,汉族,大学本科,高中,政治,26,2
32,刘梅,女,汉族,大学本科,高中,生物,29,3
33,蒋大舞,男,汉族,大学本科,高中,计算机,33,2
34,郭大红,女,汉族,专科,初中,地理,20,0
35,刘小田,男,汉族,大学本科,初中,计算机,33,2
36,卢小义,男,汉族,专科,初中,地理,23,1
37,李大体,男,汉族,大学本科,初中,心理学,28,1
38,蒋格善,男,汉族,大学本科,高中,英语,40,2
39,张无忌,男,汉族,专科,高中,音乐,40,3
40,孙万,男,汉族,专科,初中,数学,28,1
41,孙梅,女,汉族,大学本科,高中,英语,28,1
42,李桃花,女,汉族,硕士,初中,历史,28,2
43,李树,男,汉族,硕士,高中,历史,33,2
44,李霞,女,汉族,大学本科,高中,生物,66,4
44,李霞,女,汉族,大学本科,初中,生物,67,4
44,李霞,女,汉族,大学本科,初中,物理,55,3
44,李霞,女,汉族,大学本科,初中,化学,61,3
44,李霞,女,汉族,大学本科,初中,语文,34,2
44,李霞,女,汉族,大学本科,初中,物理,34,1
44,李霞,女,汉族,大学本科,初中,化学,29,2
44,李霞,女,汉族,大学本科,初中,语文,23,0
44,李霞,女,汉族,大学本科,初中,物理,34,1
44,李霞,女,汉族,大学本科,初中,英语,29,2
44,李霞,女,汉族,大学本科,初中,音乐,27,2
38,蒋格善,男,汉族,大学本科,高中,英语,39,2
39,张无忌,男,汉族,专科,高中,地理,29,2
39,张无忌,男,汉族,专科,高中,美术,29,2
38,蒋格善,男,汉族,大学本科,高中,英语,33,2
39,张无忌,男,汉族,专科,高中,地理,26,2
39,张无忌,男,汉族,专科,高中,美术,55,3
38,蒋格善,男,汉族,大学本科,高中,英语,60,3
39,张无忌,男,汉族,专科,高中,地理,33,2
39,张无忌,男,汉族,专科,高中,美术,26,2
11,龙舞,男,汉族,大学本科,高中,数学,55,3
11,龙舞,男,汉族,大学本科,高中,数学,60,3
11,龙舞,女,维吾尔族,大学本科,高中,数学,55,3
11,龙舞,男,汉族,大学本科,高中,数学,55,3
